komentar;kategori;
kampungan mau gaya kekotaan tak cocok idiot;cyberbullying;
kamu brengsek sini ngentot sama aku;cyberbullying;
kamu itu memang punya bakat terpendam key tapi alangkah baiknya bakat kamu di pendam aja;cyberbullying;
kamu itu terkenal karena kamu banci;cyberbullying;
kamu jelek sahabat sadar;cyberbullying;
kamu kenapa key kok jadi gila seperti ini;cyberbullying;
kamu mah bukan cara gemuk lagi key cara obesitas ;cyberbullying;
kamu muntahan setan mba;cyberbullying;
kamu yang tukang pansos;cyberbullying;
kan yang pakai silikon mah pasti tampil beda tetek nya segede batok kelapa;cyberbullying;
kapan mati;cyberbullying;
karya yang di tunggu seluruh warga indonesia dan dunia terus berkarya kekeyi kalau ada yang lebih dari trending pasti sampai sih ini ajib gini sakit kuping;cyberbullying;
kasian ih jadi ingin kasih pita suara perempuan;cyberbullying;
kasian yang  endorse sabunnya tidak dipraktik dipakai mukanya berubah hanya karena dandan berarti sabunnya bohong ;cyberbullying;
kasihan dah sumpah ingin nangis aku lagi cari lagu pki ketemu dia njir;cyberbullying;
kaya babi guling njer;cyberbullying;
kayak bencong banget ya;cyberbullying;
kayak cabe;cyberbullying;
kayak gorila key biasa saja kali ga baik kayak gitu nanti marah suamimu;cyberbullying;
kayak kodok zuma;cyberbullying;
kayak kontol babi ngepet;cyberbullying;
kayak lagu odong odong di rumah aku;cyberbullying;
kayak nya ga ada lah perempuan asli kayak gitu memamerkan harga dirinya malah prempuan tulen malu ni lah ini malah diumbar sudah lah bagus balik ke wujud kontol aslimu;cyberbullying;
kayak pantat karet;cyberbullying;
kayak vampir;cyberbullying;
kayaknya pembalut nya abas geser itu jalannya kayak ga nyaman;cyberbullying;
kayaknya sudah ada gila gilanya si kekeyi ini nanti sampai tua dia terus terus kayak gitu tapi kelebihan nenek nenek di kampung sambil makan paret dan kecoak;cyberbullying;
keke bukan boneka yang trending malah ratu pentol;cyberbullying;
keke bukan gorila;cyberbullying;
keke teman aku mau ikut pansos sama kamu;cyberbullying;
kekeyi bau tai anjing;cyberbullying;
kekeyi bilang kita suka lihatin dia mukbang karena bikin kita ngiler mohon maaf nih tapi aku lihat kamu mukbang enek kekeyi ingin muntah jadi semua itu dusta kekeyi buat aku maaf;cyberbullying;
kekeyi boneka santet buat mukbang belut listrik yang masi hidup;cyberbullying;
kekeyi bukan anjing kekeyi manusia;cyberbullying;
kekeyi bukan boneka boneka boneka boneka setan dong;cyberbullying;
kekeyi bukan boneka boneka boneka tapi godzilla godzilla godzilla;cyberbullying;
kekeyi bukan boneka boneka terus kenapa pakai topeng boneka chucky aneh;cyberbullying;
kekeyi bukan boneka memang bukan boneka mana ada boneka kayak kamu kalau ada tidak laku di pasaran;cyberbullying;
kekeyi bukan boneka tepi kekeyi drakula;cyberbullying;
kekeyi bukan boneka ya memang bukan boneka melainkan pesumo;cyberbullying;
kekeyi bukan mirip da kyung tapi mirip kudanil;cyberbullying;
kekeyi cari sensasi ya ga mau di hujat tapi cari perhatianya kuat banget yang normal sayang memang sih kamu itu tidak se lugu yang orang kira kamu itu serigala berbulu domba;cyberbullying;
kekeyi dugong;cyberbullying;
kekeyi kapan ya keluar dari indonesia orang orang yang tetap nonton dan merasa bodoh amat sama apa yang terjadi di video pokoknya secepatnya ya key ga sabar aku ingat komentar ini hanyalah candaan jadi maafin kalau kelebihan;cyberbullying;
kekeyi kekeyi bukan boneka boneka barbie kamu kan jenglot;cyberbullying;
kekeyi ketawa aku mikir apaan sih anjing;cyberbullying;
kekeyi lagi bersaing secara sehat sama eli sugigi ya pamer pamer gigi segala heran;cyberbullying;
kekeyi masih perawan atau sudah engga hayo;cyberbullying;
kekeyi sebelum pakai ini memang dulu badan ketek leher lu dakian ya;cyberbullying;
kekeyi sok cantik giginya tumbuh dibelakang dan mukanya jelek;cyberbullying;
kekeyi sok cantik padahal kan jelek;cyberbullying;
kelamin yang tertukar ;cyberbullying;
kelihatan banget seram nya pakai logika saja suara laki nya kedengaran banget itu ;cyberbullying;
kelihatan kali suara hidung ya nyanyi hidung nya kembang;cyberbullying;
kemarin ada dokter nyari orang gila hilang jangan jangan kamu;cyberbullying;
kemarin obat langsing sekarang obat gemuk kasihan yang endorse lu model yang endorsenya ga jelas;cyberbullying;
kenapa ga sekalian dimakan saja itu sabun nya;cyberbullying;
kenapa kok video busuk bisa banyak penonton nya njir;cyberbullying;
kenapa makin kesini makin geli lihat kelakuannya yang suka aneh;cyberbullying;
kenapa rambut selalu ganti karena asli nya botak licin kayak mie bihun rebus makanya ganti rambut palsu ganti buat apa coba;cyberbullying;
keras gitu pantatnya om;cyberbullying;
keren banget konsepnya tapi sayang yang nyanyi lebay;cyberbullying;
ketawanya kaya kunti anjir bikin kaget;cyberbullying;
ketika lu ngomong korea tapi masih ada medok jawanya;cyberbullying;
key dapat salam dari malaikat izrail katanya kapan pulang;cyberbullying;
key kamu mirip gembel yang suka dipinggir jalan;cyberbullying;
key kenapa lu ga mati aja si bosan lihat lu di hujat terus mending kamu bunuh diri aja;cyberbullying;
key lu cantik tapi bohong ;cyberbullying;
key lu kayak doraemon kegendutan key;cyberbullying;
key mingkem nanti giginya kering;cyberbullying;
kime hime buka baju dong;cyberbullying;
kimi hime ada orang yang nafsu kamu sampai pisang nya berdiri;cyberbullying;
kimi hime bilang anjing dong ;cyberbullying;
kimi hime itu apa yang di tubuh kamu gerak gerak seperti gunung;cyberbullying;
kimi hime mana tetek biar naksir;cyberbullying;
kimi hime minta nomor wa aku mau wik wik sama kamu;cyberbullying;
kimi hime nenen mu gedenya;cyberbullying;
kimi hime ngentot yuk nanti;cyberbullying;
kimi hime susu nya ngentot besar;cyberbullying;
kimi hime susu suntikan;cyberbullying;
kimi hime telanjang dong;cyberbullying;
kimi susu nya ngentot;cyberbullying;
kipasnya astaga di jauhkan dikit memang di kira lagi di korea halu nya sampai ujung rambut apalah bodoh amat;cyberbullying;
kirain berubah jadi cantik ternyata sama saja;cyberbullying;
kisah setan belekan;cyberbullying;
kok bahunya seperti laki;cyberbullying;
kok berani aja ya kalau artis kelihatan auratnya tidak malu apa;cyberbullying;
kok bisa gede tetek nya;cyberbullying;
kok bisa ya ada orang goblok hidup kayak dia;cyberbullying;
kok jadi gila ya sahabat;cyberbullying;
kok jijik yah dengarnya;cyberbullying;
kok kalau dia pakai kelihatan baju yang dijual di pasar bukan baju mahal;cyberbullying;
kok kamu ga putih sahabat;cyberbullying;
kok kayak lagu anak anak ya;cyberbullying;
kok kek lagu di odong yah;cyberbullying;
kok mirip laki ya;cyberbullying;
kok pantatnya jelek si mbak;cyberbullying;
kok serasa ingin nampol kepala nya ya ada yang sama;cyberbullying;
kok si abas yang ngangkang dan canggung ya cara jalan nya;cyberbullying;
kok tetap jelek key;cyberbullying;
kok tidak goyang pantat nya di tepuk;cyberbullying;
kontol;cyberbullying;
ktp perempuan tapi paspor laki laki eh gimana gimana;cyberbullying;
kukira sudah bertobat sahabat eh ternyata masih kayak dajjal;cyberbullying;
kumisnya aneh seperti ikan lele jadinya jelek;cyberbullying;
kuping aku sakit anjer dengarin nya;cyberbullying;
kura kura ninja lagi jalan;cyberbullying;
ladang uang makanya sombong;cyberbullying;
lagu anak anak njir;cyberbullying;
lagu apa ini kayak anak tk;cyberbullying;
lagu ga berbobot;cyberbullying;
lagu ini bakal jadi lagu odong odong indonesia sih;cyberbullying;
lagu nya kayak odong odong;cyberbullying;
lagu odong;cyberbullying;
lagu odong bagus ni;cyberbullying;
lagu pki;cyberbullying;
lagu pki lol;cyberbullying;
lagu pki parah;cyberbullying;
lagunya cocok sekali buat musik odong odong;cyberbullying;
lah aku cari lagu pki yang muncul ini;cyberbullying;
lah memang banci;cyberbullying;
laki anjing;cyberbullying;
laki banget jir mukanya;cyberbullying;
laki berpikir memangnya siapa yang bilang kamu boneka;cyberbullying;
laki kok punya tetek;cyberbullying;
laki kok ribut sama anak perempuan ga malu ya sama kontol lu ;cyberbullying;
laki ngapain malu telanjang dada;cyberbullying;
lama lama sok kecantikan ini orang;cyberbullying;
lawak anjay;cyberbullying;
lebih cantik botol nya daripada kekeyi;cyberbullying;
lebih cantik daraarafah dari pada manusia mutan ini;cyberbullying;
lebih mending theconnelltwin pakai bikini nah lu telanjang kayak orang gila ada ada aja ni mas fatah;cyberbullying;
lebih mirip daki daripada dakyung;cyberbullying;
lekong lekong;cyberbullying;
lemak semua isi;cyberbullying;
lonte ;cyberbullying;
lonte banget;cyberbullying;
lonte lama tidak kelihatan;cyberbullying;
lu cantik dari lahir dari atas sampai bawah juga semua operasi yang murni dari lahir cuma jeroan lu aja alias organ tubuh lu kecuali organ vital ya;cyberbullying;
lu ga mirip dak kyung key tapi mirip gayung;cyberbullying;
lu ga punya malu ya ngatain jelek teman nya kelainan ya lu buset gatau mau kasian atau mau jahatin;cyberbullying;
lu kan memang sudah gemuk sahabat ;cyberbullying;
lu mah ga pakai obat penggemuk sudah gemuk key;cyberbullying;
lu mau gw bakar;cyberbullying;
lu punya otak kan;cyberbullying;
lu yang setan;cyberbullying;
lubang hidung kamu aneh sahabat seperti nya jangkrik atau kecoa bisa masuk deh;cyberbullying;
lubang puki anjing muka lu kayak zombie baru tai puki;cyberbullying;
lucinta lumayan tuh kalau jadi banci;cyberbullying;
lumayan buat nakutin tikus dirumah dengar suara kekeyi;cyberbullying;
maaf kylie jener hidung nya ga kayak logo google;cyberbullying;
makan pentol aja kan kekeyi aja tuh bugar banget kan;cyberbullying;
makan tai biar makin tolol;cyberbullying;
makannya kok rakus mirip anjing;cyberbullying;
makanya punya mulut di jaga bilang anak orang lonte lah dan mereka juga malas ladenin orang kayak lu mas;cyberbullying;
make up nya seram;cyberbullying;
makhluk apa kah ini katakan peta mengapa dia imut karena pori porinya gede;cyberbullying;
makin cantik aja kekeyi tapi bohong;cyberbullying;
makin gemuk saja mirip babi kak;cyberbullying;
makin gendut aja kau;cyberbullying;
makin kesini makin stres sahabat;cyberbullying;
makin lama makin dibikin bikin anjing;cyberbullying;
malam malam sange euy;cyberbullying;
malam mimpi buruk kayanya setelah lihat ini;cyberbullying;
malas aku lihat mukanya;cyberbullying;
malu mah belakangan penting uang ngalir iya kan jijik;cyberbullying;
maluin nih bencong ga malu orang tua nya ngelahirin dia;cyberbullying;
mampir cuman mau lihat titit saja;cyberbullying;
mampus kena karma lagu nya hilang ;cyberbullying;
mampus lu masuk penjara anjir tidak pernah kapok bertobat sama sang pencipta;cyberbullying;
mana ada yang mau beli kalau yang pakai kaya kekeyi;cyberbullying;
manfaatnya ginian apaan bangsat pantesan di hujat;cyberbullying;
manusia tidak tahu malu;cyberbullying;
mas fatah awas meletus bokongnya;cyberbullying;
mas fatah diam cuma pakai masker aja biasanya bacotnya heboh;cyberbullying;
mas jalan nya perempuan banget;cyberbullying;
masih kecil aja kayak gini  apalagi pas sudah besar makin suram;cyberbullying;
mata nya kayak orang sakau sih;cyberbullying;
matamu da kyung dancok yang ada;cyberbullying;
matamu ngeri gitu sahabat;cyberbullying;
mau cantik ke rumah aku aja nih banyak semen lumayan buat cor tuh;cyberbullying;
mau dikatain gimana juga sama dia yang menang pasti kak dara soalnya dia perempuan asli dari pada perempuan tapi laki eh ga tahu ah setengah setengah adik bingung;cyberbullying;
mau ditepokin bagaimana pun tetap aja tidak buat laki jadi nafsu kecuali laki tidak normal kayak lu;cyberbullying;
mau ngatain orang tidak jelas nyanyi aja tidak jelas;cyberbullying;
mau pamer aurat lu kalau ga haram sih tidak apa ini laki operasi lagi pamer aurat jaga dong aurat perempuan sudah tidak tau rasa bersyukur sama allah tidak takut masuk neraka;cyberbullying;
mau putih kayak gimana muka lu kayak gitu gitu juga;cyberbullying;
mba susunya kok gede sekali;cyberbullying;
mbak abas kesiksa banget sama jalannya lemasin aja mbak lu kan perempuan pantat licin;cyberbullying;
mbak kalau mau berak ke kamar mandi ga usah di tahan;cyberbullying;
mbak kekeyi kok bau;cyberbullying;
memang jelek dari sananya;cyberbullying;
memang keke bukan boneka tapi ampas kopi;cyberbullying;
memang lama mukanya nyebelin sok gitu kebanyakan iklan nya ga nyambung ;cyberbullying;
memang nya kamu punya tetek ;cyberbullying;
memang tadinya punya tetek ya maaf serius nanya;cyberbullying;
membusuk benaran dah lu makan omongan sendiri;cyberbullying;
mending dara tetek rata daripada lu tetek operasi aja bangga;cyberbullying;
mending mati saja ganggu pemandangan tolol anjing asu;cyberbullying;
menit sampai menit sekian sumpah gigi nya kayak mau nerkam anjir;cyberbullying;
menjijikkan sampai ketulang;cyberbullying;
menurut aku ini lagu ga mendidik lebih mendidik lagunya spongebob tapi ini cuma menurut aku aja ga mendidik aku bukan yang paling benar;cyberbullying;
menurut saya kalau punya bakat terpendam mending di pendam aja dalam dalam;cyberbullying;
merdu pakai banget bisa nih jadiin penyanyi nanti konser penontonnya kabur semua karena saking merdunya ini mumpung aku baik aku muji kamu soalnya besok sudah ga berlaku;cyberbullying;
mereka ga salah mereka pacarannya sudah benar kok cuma ketukar peran aja;cyberbullying;
mie mie mulu obesitas mampus aku ketawain;cyberbullying;
mimpi buruk gw anjrit;cyberbullying;
mimpi buruk sahabat gara gara lihat kamu;cyberbullying;
mirip ama kodok zuma;cyberbullying;
mirip anjing atau babi ya mukanya;cyberbullying;
mirip dari mana bangsat tonggos pendek;cyberbullying;
mirip dari mananya mata lu somplak lu lihat dari ujung sedotan juga ga ada mirip nya dilihat dari ujung monas kali ya baru kelihatan mirip kekeyi saran aja ni kamu itu bisa ga normal sedikit kamu itu sudah gede apalagi gigi mu kalau sudah tahu gigi kayak gitu tidak usah tambah di buka lebar lagi kamu tahu geli orang yang lihat kamu di video kamu joget ga jelas kayak gitu jangan joget kayak gitu malu lah lagian kamu pakai jilbab kan lah jangan lah kayak gitu kamu itu cantik sebenarnya tapi kalau perilaku kamu aja yang mesti di ubah sedikit sedikit bukannya aku ngehujat kamu cuma saran aja saran jangan masukin dihati mau terima masukan bagus dkalau tidak ya urusan kamu itu;cyberbullying;
mirip kodok zuma aja astaga maaf keceplos;cyberbullying;
mirip laki kau sudah jadi bencong baru ga ngaku lagi dasar halu;cyberbullying;
mirip sama da kyung tapi kalau dilihat dari sedotan;cyberbullying;
mirip sekali kekeyi tapi bohong;cyberbullying;
mirip setan atau dajjal sih sama sama jelek;cyberbullying;
miskin gila;cyberbullying;
modal pantat oplas saja bangga njir;cyberbullying;
model kardus;cyberbullying;
monyet;cyberbullying;
muka aspal;cyberbullying;
muka nya aneh;cyberbullying;
mukanya busuk jelek ew;cyberbullying;
mundur mbak sombongnya kelewatan malu sama umur;cyberbullying;
musik apaan sih masih merdu suara kentut aku;cyberbullying;
nah ini yang benar benar lonte haha;cyberbullying;
nah lonte kamu makanya ngaca dulu jangan hujat orang;cyberbullying;
najis;cyberbullying;
najis;cyberbullying;
najis gw;cyberbullying;
najis ingin sekali mirip kayak da kyung siapa yang kangen kekeyi pas masih polos cung;cyberbullying;
najis najis mati aja lu fatah;cyberbullying;
najis ngapain lo asu;cyberbullying;
najis ya allah;cyberbullying;
nama nya bukan da kyung anjir;cyberbullying;
neraka paling bawah menunggumu;cyberbullying;
neraka titip salam ya katanya lagu nya lucu;cyberbullying;
ngaca dong;cyberbullying;
ngagetin anjir bibirnya lembek benar kayak tahu jombang;cyberbullying;
ngarep lu anjing;cyberbullying;
ngatain dara arafah tidak punya tetek lah elu oplas aja bangga gw jadi lu mah jijik banget;cyberbullying;
ngentod yuk kak;cyberbullying;
ngentot;cyberbullying;
ngentot jijik juga gw;cyberbullying;
ngentot kuy wik wik ah ah ah;cyberbullying;
ngentot yuk kak biar tidak makin idiot;cyberbullying;
ngeri duh sahabat;cyberbullying;
ngeri gw anjir;cyberbullying;
ngeri sahabat;cyberbullying;
ngewe sama aku biar makin goblok tolol;cyberbullying;
ngewe yuk kimi hime;cyberbullying;
ngimpi operasi sana sini kok cantik dari lahir orang cantik itu ga perlu operasi;cyberbullying;
ngomongin orang miskin ingat tetek lu masih hutang sayang;cyberbullying;
niat bikin musik tidak sih;cyberbullying;
niat nyanyi atau ngelawak sih;cyberbullying;
njay nenen nya;cyberbullying;
njir;cyberbullying;
njir kekeyi;cyberbullying;
njir kuping aku pecah;cyberbullying;
njir seram ;cyberbullying;
nonton ini jadi sange ingin rasa nya di halalin;cyberbullying;
norak anjir;cyberbullying;
nyanyi mulu tidak ngaca apa suara lu itu kayak kejedok paku pakai kelihatan jakun nya lagi dasar ratu setan yang di lahirkan dengan keadaan tidak punya otak;cyberbullying;
